bvid,dt,tz,type,productid,rootcategoryid,bvproduct
A,2/6/15 13:02,0,Category,,33006169,AskAndAnswer
A,2/6/15 13:05,0,Product,1529425,33006169,RatingsAndReviews
A,2/6/15 13:05,0,Product,1529425,33006169,AskAndAnswer
A,2/6/15 13:06,0,Product,2785165,33006169,RatingsAndReviews
A,2/6/15 13:06,0,Product,2785165,33006169,AskAndAnswer
A,2/6/15 13:08,0,Product,2785165,33006169,RatingsAndReviews
A,2/6/15 13:08,0,Product,2785165,33006169,AskAndAnswer
B,3/27/15 14:11,0,Category,,33006169,AskAndAnswer
B,3/27/15 14:12,0,Product,2785165,33006169,RatingsAndReviews
B,3/27/15 14:12,0,Product,2785165,33006169,AskAndAnswer
B,3/27/15 14:12,0,Category,,33006169,AskAndAnswer
B,3/27/15 14:13,0,Product,1529425,33006169,RatingsAndReviews
B,3/27/15 14:13,0,Product,1529425,33006169,AskAndAnswer
C,3/8/15 13:56,0,Category,,33006169,AskAndAnswer
C,3/8/15 13:57,0,Product,2785165,33006169,RatingsAndReviews
C,3/8/15 13:57,0,Product,2785165,33006169,AskAndAnswer
C,3/8/15 14:01,0,Product,1529425,33006169,RatingsAndReviews
C,3/8/15 14:01,0,Product,1529425,33006169,AskAndAnswer
C,3/8/15 14:01,0,Product,2785165,33006169,RatingsAndReviews
C,3/8/15 14:01,0,Product,2785165,33006169,AskAndAnswer
C,3/8/15 14:05,0,Product,2785165,33006169,RatingsAndReviews
C,3/8/15 14:05,0,Product,2785165,33006169,AskAndAnswer
C,3/8/15 14:07,0,Product,1384677,33006169,RatingsAndReviews
C,3/8/15 14:07,0,Product,1384677,33006169,AskAndAnswer
C,3/8/15 14:07,0,Product,2785165,33006169,RatingsAndReviews
C,3/8/15 14:07,0,Product,2785165,33006169,AskAndAnswer
C,3/8/15 14:09,0,Product,1289727,33006169,RatingsAndReviews
C,3/8/15 14:09,0,Product,1289727,33006169,AskAndAnswer
C,3/8/15 14:10,0,Product,2785165,33006169,RatingsAndReviews
C,3/8/15 14:10,0,Product,2785165,33006169,AskAndAnswer
C,3/8/15 14:11,0,Category,,33006169,AskAndAnswer
C,3/8/15 14:11,0,Category,,33006169,AskAndAnswer
C,3/8/15 14:12,0,Category,,33006169,AskAndAnswer
D,2/1/15 22:46,0,Category,,33006169,AskAndAnswer
D,2/1/15 22:47,0,Category,,33006169,AskAndAnswer
